Variant,Perplexity,SARI,BLEU
nts_search_3,10.3,28.684579893966628,84.46880884995188
nts_search_14,10.49,28.61555203856505,85.04453064193831
nts_search_24,10.25,28.937675540530357,85.27612555086195
nts_search_10,10.26,28.88496431546573,86.69434319139046
nts_search_16,10.45,29.60046272013617,86.8103509517532
nts_search_20,10.22,29.02381132180809,86.94512640197911
nts_search_4,10.63,29.778185819189535,87.13569457428966
nts_search_2,10.27,29.34036915322947,87.18957237992542
nts_search_31,10.34,29.312593330589003,87.21455236461634
nts_search_17,10.13,29.401427929759265,87.4150202237751
nts_search_23,10.31,29.19323944435328,87.51391617115021
nts_search_0,10.37,28.94778846532557,87.75306929572135
nts_search_15,10.33,28.95922901693696,87.76529209069247
nts_search_25,10.21,29.61910920966147,87.81102929129959
nts_search_39,10.24,28.8275445720218,87.81249800450883
nts_search_38,10.32,29.278561394145857,87.83506760756012
nts_search_36,10.29,29.112622674320694,87.86021184565622
nts_search_33,10.39,28.99166356398097,87.93809395156346
nts_search_22,10.32,29.023342116964496,88.28162366896747
nts_search_37,10.2,29.2448439873032,88.36027127196672
nts_search_29,10.33,29.30559257918441,88.41766958344343
nts_search_26,10.16,29.184719293832632,88.41856667972587
nts_search_1,10.32,29.172787031143503,88.58493541616639
nts_search_32,10.24,29.149592502231787,88.58533002617487
nts_search_19,10.43,29.29044163047778,88.60823559650248
nts_search_18,10.49,29.496289926650025,88.63777985769869
nts_search_11,10.3,28.980669480223554,88.677263378371
nts_search_12,10.24,29.54973046950696,88.69300862362589
nts_search_21,10.3,29.893380714804906,88.75135372311394
nts_search_41,10.38,29.321872871105747,88.82837668745918
nts_search_13,10.12,29.588509249548267,88.97643509168712
nts_search_35,10.39,29.142630344430824,89.0130465650971
nts_search_34,10.34,29.30290203246589,89.03485999030832
nts_search_28,10.34,29.1463085207584,89.14391654238209
nts_search_30,10.16,29.713989375575565,89.41936009111406
nts_search_27,10.21,29.763904796079625,89.59486159992218
