Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B,Significant
1,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,89.83495155957222,0.000999000999000999,89.86724748242277,2.1712288582634685,1
2,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.85122894771708,0.000999000999000999,88.84845803589755,2.148034970459122,1
3,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_29_epoch14_10.33.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.45811041823475,0.011988011988011988,88.45275877222288,2.3001104209601664,1
4,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_16_epoch11_10.45.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,86.83637175723291,0.12687312687312688,86.87145194336594,2.424355186051102,0
5,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_27_epoch14_10.21.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,89.8677797061458,0.000999000999000999,89.89929650633958,2.22541343940798,1
6,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_39_epoch12_10.24.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.82122026562153,0.025974025974025976,87.79586041451621,2.5942019518380235,1
7,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_31_epoch14_10.34.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.19795332546306,0.08191808191808192,87.1899820078139,2.420903265838831,0
8,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_13_epoch13_10.12.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.99845502205497,0.003996003996003996,89.00806174276883,2.141900351583466,1
9,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_10_epoch14_10.26.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,86.90840801524928,0.11388611388611389,86.9414639153218,2.3476304193015665,0
10,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_23_epoch14_10.31.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.27803750217201,0.06993006993006994,87.28466461989385,2.5093478001015086,0
11,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_33_epoch12_10.39.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.01988844143516,0.02097902097902098,87.99000811143257,2.363172206379488,1
