Variant,Epoch,Perplexity,Score
nts_search_0,14,10.37,87.75306929572135
nts_search_1,11,10.32,88.58493541616637
nts_search_10,14,10.26,86.69434319139046
nts_search_11,13,10.3,88.677263378371
nts_search_12,11,10.24,88.69300862362589
nts_search_13,13,10.12,88.97643509168712
nts_search_14,12,10.49,85.04453064193832
nts_search_15,13,10.33,87.76529209069247
nts_search_16,14,10.45,86.75077165172276
nts_search_16,11,10.45,86.81035095175318
nts_search_17,13,10.13,87.4150202237751
nts_search_18,13,10.49,88.63777985769869
nts_search_19,14,10.43,88.60823559650247
nts_search_2,13,10.27,87.18957237992542
nts_search_20,11,10.22,86.94512640197911
nts_search_21,14,10.3,88.75135372311394
nts_search_22,13,10.32,88.28162366896747
nts_search_23,13,10.31,87.51391617115021
nts_search_23,14,10.31,87.21590429347678
nts_search_24,11,10.25,85.27612555086195
nts_search_25,12,10.21,87.8110292912996
nts_search_26,14,10.16,88.41856667972587
nts_search_27,12,10.21,89.59486159992217
nts_search_27,14,10.21,89.64021956857326
nts_search_28,14,10.34,89.1439165423821
nts_search_29,14,10.33,88.41766958344344
nts_search_3,12,10.3,84.46880884995187
nts_search_30,13,10.16,89.41936009111406
nts_search_31,14,10.34,87.21455236461634
nts_search_32,13,10.24,88.58533002617487
nts_search_33,12,10.39,87.93809395156346
nts_search_34,12,10.34,89.03485999030833
nts_search_35,12,10.39,89.01304656509711
nts_search_36,13,10.29,87.86021184565622
nts_search_37,14,10.2,88.36027127196672
nts_search_38,14,10.32,87.83506760756012
nts_search_39,12,10.24,87.81249800450881
nts_search_4,9,10.63,87.13569457428967
nts_search_41,13,10.38,88.82837668745918
